Date,Цена на арматуру_x_stationary,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС_stationary","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т_stationary","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС_stationary","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС_stationary","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС_stationary","ЖРС_Китай Iron ore fines Fe 62%, CFR_stationary","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС_stationary","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т_stationary","Лом_HMS 1/2 80:20, FOB США Восток, $/т_stationary","Лом_3А, FOB РФ Черное море, $/т_stationary","Чугун_FOB Бразилия Север, $/т_stationary","Лом_HMS 1/2 80:20, CFR ЮВА, $/т_stationary","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС_stationary","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС_stationary","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т_stationary","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС_stationary","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС_stationary","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС_stationary","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС_stationary","Чугун_FOB Россия Черное море, $/т_stationary","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС_stationary","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС_stationary","Чугун_Россия, FCA руб./т, без НДС_stationary","Концентрат коксующегося угля_HCC Австралия, $/t FOB_stationary","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС_stationary","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС_stationary","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС_stationary","Лом_HMS 1/2 80:20, CFR Турция, $/т_stationary","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС_stationary","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС_stationary","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС_stationary","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС_stationary","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС_stationary","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС_stationary"
2015-01-12,-0.0122325684356336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-19,-0.0155041865359653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-26,-0.0414732482065751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-02,-0.0131149420778289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-16,-0.0066225407604925,0.0,-0.1014694601648598,-0.0059313600664481,0.0413933169474152,0.0096951502181266,0.0160003413464409,0.0,0.0,0.0,-0.036870535808327,-0.0929461125094448,0.0,0.0,0.0148379582343878,0.0,0.0,0.0,0.018199016348861,0.0,-0.0661110251120629,0.0,0.0,0.0,0.0,0.0,0.0167582581240637,0.0,-0.0122700925918142,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-23,-0.0235304974101939,0.0,0.0048426244757875,0.0300231251275171,0.1384440564734657,0.0140618866565773,0.0157483569681389,0.0,0.0281708769666959,-0.02752467339009,-0.0237540860081075,-0.0431244266337538,0.0,0.0,0.0155434790094961,2.0,0.0,0.0,0.0337553905424243,0.0,-0.0478912877044148,0.0,0.0,0.0,-0.028710105882431,0.0,0.0212247387064028,0.0,-0.0082645098498934,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-02,-0.0068259650703996,0.0,0.0332572217564823,0.0040251031021796,-0.005775766276054,-0.0095591230516376,-0.0157483569681389,0.0,0.0,0.0410080237273771,0.0330999484263445,0.0,0.0,0.0,0.0141492164928713,0.0,0.0,0.0,-0.0051319172850341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169551386825936,0.0,0.0326559629740526,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-09,-0.0068728792877621,0.1335313926245227,0.0807613566444587,0.0171798696719207,0.0124308112193975,0.0041740804207499,-0.0322608622182212,0.0903840614682689,-0.0281708769666959,0.0220759516992004,0.02752467339009,-0.0702042586732485,0.0,0.1278333715098849,-0.0273117419966268,-2.0,0.0434851119397379,0.2375322887663102,-0.0342647691207673,-0.0476280489892548,0.0,0.014981553615617,0.063851471986533,-0.3317773923170044,0.0,0.0143887374520996,-0.0057292675950382,0.0,0.0316231884305127,0.0680669931223683,0.0509200904272582,0.0,0.0,0.0,0.0
2015-03-16,-0.010398707220899,0.0,-0.0130153681120699,-0.0025582400866408,-0.0140271148559971,-0.0117940535323892,-0.0504308536268922,0.0,-0.0438026226583936,0.0086957069675532,0.0090090699423663,-0.0370412716803496,0.0,0.0,-0.0034883261645823,-3.0,0.0,0.0,0.0060548436960772,0.0,-0.0075757938084572,0.0,0.0,0.0,-0.0097561749453651,0.0,-0.0035357517409178,0.0,-0.0038986404156577,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-23,-0.0318611020689836,0.0,0.0043573053689556,-0.0101420747646248,0.0043627890326636,-0.009252790862634,-0.0350913198112694,0.0,-0.0303053494953289,-0.0043384015985976,-0.0135442251077568,-0.0075757938084572,0.0199607425625378,0.0,-0.0165861233615327,-2.0,0.0,0.0,-0.0276677608248334,0.0,0.0,0.0,0.0,0.0,-0.009852296443011,0.0,-8.237571568514568e-05,0.0,-0.0078431774610256,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-30,-0.02181904739464,0.0,0.0043384015985976,-0.0183593033579523,-0.0077317806804089,-0.0098959759415766,-0.0180185055026784,0.0,-0.023347363996991,0.0129591446425045,0.0045351551653904,0.0225573474240743,0.0039447782910162,0.0,0.0033738515501813,-1.5,0.0,0.0,-0.0037475557018389,0.0,-0.007633624855071,0.0,0.0,0.0,-0.0301530381706873,0.0,-0.0021441538810016,0.0,0.0078431774610256,0.0,0.0,0.0170848575210555,0.1019211313559163,0.0047468443562186,0.0
2015-04-06,-0.0223057575142977,0.0,0.0171678036223656,-0.0101140691996572,-0.0057534637092686,-0.0118448763806444,-0.0953101798043252,0.0,-0.0905968953522267,0.0127933514599103,0.0355593020364874,-0.014981553615617,0.0156253179030807,0.0,-0.017511446301679,-5.5,0.0,0.0,-0.0408433276260371,0.0,0.0114286958236222,-0.073250461739593,-0.1088028598487991,-0.1405819506211898,-0.0310905870700315,-0.089612158689686,0.0209140863582071,0.0,0.0231670592815342,0.1710915891108904,0.0,0.0,0.0,0.0,0.0
2015-04-13,-0.0344202238864799,0.1954920199836998,0.012685159527316,-0.0142192117437041,-0.0396382801695178,-0.0223886910866735,-0.0408219945202548,0.2499417444689342,-0.0086580627431143,0.0,0.0,0.0,0.0,0.1598487009418967,-0.0287083993031416,-0.5,0.1929036661244918,0.1679328193418534,0.0068211275681484,0.1576289442035836,-0.0152674721307883,0.0,0.0,0.0,-0.0320883145515003,0.0,-0.0036447616584514,0.16623541904233,0.0038095284166681,0.0,0.088192712035461,0.0,0.0,0.0,0.0
2015-04-20,-0.0356473387302376,0.0,0.0289875368732523,-0.0324352757531531,-0.0247588282548143,-0.0360444685098961,0.0408219945202548,0.0,0.0172418064345061,0.0209651284650442,0.038548670117235,0.0,0.0,0.0,-0.0408936022456298,1.0,0.0,0.0,-0.0705895749182925,0.0,0.0,0.0,0.0,0.0,-0.0219789067187754,0.0,-0.0175996029621927,0.0,0.0150946262224849,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-27,-0.004040409537005,0.0,0.0202027073175186,-0.06522627519678,0.0037035406588419,-0.0598833892567878,0.0769610411361285,0.0,0.0418471099355004,0.0286318126743276,0.0207907696690732,0.018692133012153,0.0,0.0,-0.014903688457764,2.5,0.0,0.0,-0.0474362729461166,0.0,0.0152674721307883,0.0,0.0,0.0,-0.0224728558520581,0.0,-0.033932876829354,0.0,0.0258794479878208,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-04,-0.0163268932874292,0.0,0.0039920212695374,-0.033861105334747,0.0068290318410504,-0.0155254260003054,0.0714589639821445,0.0,0.0242926925690447,0.0040241502997249,0.0041067819526539,-0.018692133012153,0.0,0.0,-0.044990963349214,1.5,0.0,0.0,-0.0310759469605219,0.0,-0.0037950709685512,0.0,0.0,0.0,-0.0229895182246995,0.0,-0.0648518266557349,0.0,0.0072727593290791,-0.0032434652395618,0.0,-0.0645200079330283,-0.0576145141899306,-0.1869098094441872,0.0
2015-05-11,-0.0165978914090363,-0.0188684843043844,0.0313751225677538,-0.0146674310573438,0.0091813275880294,-0.0377013893094844,0.0339015516756813,0.0,0.0237165266173153,0.0316231884305127,0.0322608622182212,-0.0075757938084572,0.0077220460939102,0.0,-0.0645651988310209,1.5,0.0,-0.0444517625708336,-0.0339792981585755,0.0,0.0262679268206103,0.0,-0.2174128766052252,-0.0384662808277962,-0.0476280489892539,-0.2076393647782453,-0.0353485478388222,0.0,0.0320883145515011,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-18,0.0041753714104793,0.0,0.0229017642866846,-0.027754218185267,-0.0497533608136766,-0.0008605441081801,0.0327898228229912,0.0,0.0155041865359653,0.0268730182510958,0.0118344576470024,0.0,0.0190481949706944,0.0,-0.0147274900568881,1.0,0.0,0.0,-0.0048889458628451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0047330644965182,0.0,0.0104712998672953,0.0,0.0,0.0,0.0,0.0,0.0
